precinct,dominant_cluster,abs_change,pct_change
1,1,547.0,35.6
10,1,85.0,6.6
100,3,10.0,19.2
101,2,-10.0,-20.8
102,1,707.0,66.3
103,1,1751.0,87.8
104,1,761.0,51.0
105,1,271.0,12.2
106,1,403.0,22.5
107,1,536.0,41.9
108,1,743.0,60.5
109,1,1294.0,59.6
110,1,1825.0,104.5
111,1,406.0,52.1
112,1,386.0,61.6
113,1,79.0,3.6
114,1,859.0,38.0
115,1,1434.0,71.0
116,1,73.0,
120,1,885.0,60.0
121,1,274.0,24.0
122,1,355.0,40.2
123,1,219.0,49.9
13,3,-29.0,-11.8
14,1,1995.0,64.9
17,3,1.0,1.0
18,1,958.0,38.0
19,1,162.0,6.9
20,1,345.0,37.9
22,1,33.0,45.8
23,1,487.0,37.4
24,1,79.0,7.1
25,1,633.0,37.7
26,1,255.0,32.4
28,1,288.0,22.9
30,1,301.0,35.1
32,1,397.0,27.1
33,1,490.0,49.0
34,1,523.0,34.3
40,1,1234.0,39.6
41,1,862.0,61.2
42,1,1054.0,58.1
43,1,1593.0,66.0
44,1,1259.0,42.6
45,1,874.0,65.8
46,1,1055.0,44.2
47,1,1688.0,72.9
48,1,1135.0,62.5
49,1,1351.0,92.3
5,1,576.0,50.9
50,1,833.0,78.7
52,1,915.0,34.4
6,1,230.0,13.3
60,1,580.0,37.7
61,1,479.0,31.7
62,1,559.0,42.3
63,1,316.0,26.6
66,1,326.0,28.8
67,1,734.0,28.0
68,3,-13.0,-11.7
69,1,285.0,28.4
7,1,263.0,22.7
70,1,453.0,24.8
71,2,-34.0,-41.0
72,1,220.0,14.4
73,1,319.0,12.3
75,1,671.0,14.5
76,1,137.0,18.5
77,1,116.0,7.1
78,1,245.0,26.2
79,1,89.0,4.3
81,2,-19.0,-26.0
83,1,532.0,30.2
84,1,635.0,44.5
88,3,29.0,22.5
9,1,171.0,12.8
90,3,88.0,39.8
94,1,368.0,39.6
