year,ofns_desc,n
2019,BURGLARY,10886
2024,BURGLARY,13007
2019,CRIMINAL MISCHIEF & RELATED OF,11193
2024,CRIMINAL MISCHIEF & RELATED OF,15968
2019,DANGEROUS DRUGS,5441
2024,DANGEROUS DRUGS,8471
2019,DANGEROUS WEAPONS,4216
2024,DANGEROUS WEAPONS,5615
2019,FELONY ASSAULT,20862
2024,FELONY ASSAULT,29369
2019,FORGERY,4756
2024,FORGERY,6994
2019,GRAND LARCENY,43149
2024,GRAND LARCENY,47113
2019,GRAND LARCENY OF MOTOR VEHICLE,5407
2024,GRAND LARCENY OF MOTOR VEHICLE,14123
2019,MISCELLANEOUS PENAL LAW,13682
2024,MISCELLANEOUS PENAL LAW,18237
2019,OTHER STATE LAWS,11
2024,OTHER STATE LAWS,2033
2019,POSSESSION OF STOLEN PROPERTY,713
2024,POSSESSION OF STOLEN PROPERTY,1611
2019,RAPE,1618
2024,RAPE,1437
2019,ROBBERY,13434
2024,ROBBERY,16544
2019,SEX CRIMES,1303
2024,SEX CRIMES,865
2019,THEFT-FRAUD,3715
2024,THEFT-FRAUD,2398
