lag,r,p,n
0,0.8648393092199979,5.0044403745469615e-08,24
1,0.7994491761946747,4.732279566021168e-06,23
2,0.7314340744816501,0.00010978814215246512,22
3,0.6231998506485391,0.0025439708445951243,21
4,0.6291892552096789,0.0029570383455512455,20
5,0.3783473237116793,0.1102090414859664,19
6,0.16324884530552863,0.5174716160236441,18
7,0.1490702395948411,0.5679845764457041,17
8,0.12375248539449503,0.6479456343270431,16
9,0.11839149240004526,0.6743157088841906,15
10,0.17638734208694912,0.5463694845104246,14
11,0.1943345477709416,0.524650626421698,13
12,0.7914488698524288,0.0021630975642498566,12
