agency,n_closed,median_hours,mean_hours
HRA,4553,0.010833333333333334,0.02145441345144836
NYPD,2388871,1.5827777777777778,8.728573106756803
DHS,45487,1.8444444444444446,135.9858311959704
DEP,345956,25.133333333333333,165.6145731923512
DSNY,741904,51.04805555555556,357.11142587780245
DOT,425239,65.22416666666666,425.7536266905855
DCA,14921,73.31555555555556,2531.745565682969
DCWP,19254,92.37791666666666,382.70183943019066
HPD,1195097,94.92611111111111,309.526971540105
DOF,21936,96.93111111111111,239.7171713925361
DFTA,3614,265.3648611111111,249.4414895007071
DOE,3274,409.6675,2153.953989089119
DOB,199697,464.59277777777777,1657.401971581392
DPR,215888,592.4375,4150.6056272902815
EDC,28171,810.0111111111111,1608.5431740777512
DOHMH,115806,864.0076388888889,6224.856966248144
TLC,63167,1509.925,1743.8938837437963
